#Name	Chromosome	Start	End	sample1	sample2	sample3
CL_1194	13	288745	288747	-0.908	-0.559	-0.816
CL_1195	13	208146	208148	-1.34	-0.603	-1.343
CL_1196	13	371710	371712	-0.757	-1.025	-1.021
CL_1197	13	280778	280780	-1.483	-0.932	-1.354
CL_1198	13	134070	134072	-0.864	-0.611	-0.758
CL_1199	13	363556	363558	-1.213	-0.674	-0.607
CL_1200	13	134711	134713	-1.271	-1.122	-0.632
CL_1201	13	321063	321065	-1.158	-0.594	-0.837
CL_1202	13	407501	407503	-0.992	-0.521	-1.294
CL_1203	13	369098	369100	-0.611	-0.901	-1.116
CL_1204	13	198666	198668	-1.059	-1.425	-1.162
CL_1205	13	489062	489064	-0.935	-1.475	-1.525
CL_1206	13	495328	495330	-1.43	-1.143	-1.081
CL_1207	13	141349	141351	-0.72	-0.579	-0.747
CL_1208	13	287884	287886	-0.793	-1.301	-0.62
CL_1209	13	470200	470202	-1.093	-1.403	-1.517
CL_1210	13	537981	537983	-1.135	-0.868	-0.686
CL_1212	13	434653	434655	-1.126	-0.543	-1.386
CL_1213	13	466887	466889	-1.19	-1.364	-1.337
CL_1214	13	523399	523401	-0.729	-0.612	-0.891
CL_1215	13	534898	534900	-1.356	-0.774	-0.93
CL_1216	13	283305	283307	-1.271	-0.561	-0.838
CL_1217	13	516866	516868	-1.459	-0.579	-1.075
CL_1218	13	522633	522635	-1.304	-0.804	-0.655
CL_1219	13	453822	453824	-1.552	-1.319	-1.083
CL_1220	13	343847	343849	-0.726	-1.042	-1.245
CL_1221	13	570513	570515	-0.591	-1.253	-0.861
CL_1222	13	304292	304294	-1.18	-0.62	-0.635
CL_1223	13	425103	425105	-0.69	-1.106	-1.206
CL_1224	13	425352	425354	-1.339	-1.406	-0.989
CL_1225	13	563634	563636	-0.678	-0.694	-0.647
CL_1226	13	412746	412748	-1.477	-0.563	-0.698
CL_1227	13	157744	157746	-0.828	-0.943	-0.78
CL_1228	13	334603	334605	-1.224	-1.229	-1.491
CL_1229	13	183789	183791	-0.595	-0.963	-0.93
CL_1230	13	177763	177765	-1.296	-1.46	-0.671
CL_1231	13	214439	214441	-0.827	-1.397	-1.502
CL_1233	13	355730	355732	-0.727	-1.133	-0.836
CL_1234	13	395279	395281	-0.617	-1.11	-1.022
CL_1235	13	886082	886084	-0.855	-0.973	-1.162
CL_1237	13	621353	621355	-1.371	-0.993	-1.22
CL_1239	13	911949	911951	-1.027	-0.671	-1.353
CL_1240	13	502192	502194	-1.111	-0.845	-0.953
CL_1241	13	514726	514728	-0.598	-1.469	-0.88
CL_1242	13	835249	835251	-1.513	-0.947	-0.588
CL_1243	13	452787	452789	-0.65	-0.836	-0.866
CL_1244	13	379034	379036	-2.814	2.618	-1.432
CL_1245	13	628014	628016	0.093	-0.488	-0.069
CL_1246	13	462248	462250	0.127	-0.181	0.243
CL_1247	13	644342	644344	-0.346	-0.348	-0.038
CL_1248	13	400141	400143	-0.011	0.09	0.344
CL_1249	13	601649	601651	-0.217	0.512	-0.14
CL_1250	13	670624	670626	0.086	-0.597	1.108
CL_1251	13	950970	950972	0.433	-0.255	0.628
CL_1252	13	399201	399203	-0.119	-0.393	-0.429
CL_1253	13	857795	857797	0.046	-1.607	0.11
CL_1255	13	640020	640022	0.578	-0.541	0.806
CL_1256	13	462039	462041	0.16	-0.154	-0.216
CL_1257	13	811241	811243	-0.369	0.138	0.286
CL_1258	13	1149985	1149987	-2.171	2.433	-2.439
CL_1259	13	1031510	1031512	0.121	0.367	-0.087
CL_1260	13	657320	657322	0.749	-0.329	0.033
CL_1261	13	307105	307107	-1.674	1.61	-1.489
CL_1262	13	499727	499729	-1.76	0.314	-1.173
CL_1263	13	472986	472988	0.65	-0.459	0.462
CL_1264	13	578895	578897	-0.435	-0.002	-0.82
CL_1265	13	775759	775761	1.144	-1.495	1.495
CL_1266	13	894649	894651	0.402	-1.073	0.418
CL_1267	13	560208	560210	1.041	-1.159	0.497
CL_1268	13	1044806	1044808	0.233	0.145	0.881
CL_1269	13	741572	741574	0.075	-0.7	-0.273
CL_1270	13	1226428	1226430	1.057	-0.391	0.511
CL_1271	13	949544	949546	0.691	0.025	0.013
CL_1272	13	570425	570427	0.336	-0.527	0.824
CL_1273	13	651242	651244	-3.363	2.601	-2.514
CL_1274	13	989021	989023	0.247	-0.518	0.701
CL_1275	13	1233881	1233883	0.2	-0.229	0.17
CL_1276	13	405042	405044	-1.054	0.786	-0.426
CL_1277	13	1117616	1117618	-0.025	-0.47	-0.546
CL_1278	14	248949	248951	0.184	-0.465	-0.379
CL_1279	14	95618	95620	1.045	-0.826	0.645
CL_1280	14	170012	170014	1.379	-0.612	1.686
CL_1281	14	193628	193630	0.164	0.3	1.211
CL_1283	14	264481	264483	-1.414	1.736	-1.481
CL_1284	14	118388	118390	-0.799	-0.11	0.244
CL_1285	14	212258	212260	-0.296	0.94	0.698
CL_1286	14	295945	295947	-0.375	0.484	-0.235
CL_1287	14	100216	100218	0.416	-0.648	-0.093
CL_1288	14	163889	163891	0.699	-0.218	0.926
CL_1289	14	236749	236751	-2.357	1.799	-2.587
CL_1290	14	189412	189414	0.424	-0.785	-0.108
CL_1291	14	283491	283493	-0.479	1.166	-0.435
CL_1292	14	272590	272592	-1.128	1.476	-1.242
CL_1293	14	207819	207821	-0.876	0.313	-0.913
CL_1294	14	315413	315415	0.162	-0.548	-0.027
CL_1295	14	95463	95465	0.515	-1.474	0.155
CL_1296	14	138797	138799	0.24	-0.188	-0.239
CL_1297	14	199635	199637	0.573	-0.449	0.518
CL_1298	14	177392	177394	-1.317	1.372	-1.345
CL_1299	14	172084	172086	0.866	0.039	0.646
CL_1300	14	193584	193586	1.158	-0.772	1.461
CL_1301	14	340825	340827	0.752	-1.207	1.466
CL_1302	14	237069	237071	0.845	-0.012	0.97
CL_1303	14	360464	360466	0.397	-1.195	1.216
CL_1304	14	196919	196921	-0.287	0.285	0.159
CL_1305	14	129910	129912	0.226	-0.049	0.795
CL_1306	14	326267	326269	0.072	-0.187	-0.74
CL_1307	14	249073	249075	0.9	-1.183	0.023
CL_1308	14	336570	336572	-0.933	0.369	-1.127
CL_1309	14	380483	380485	-0.615	0.252	0.577
CL_1310	14	162247	162249	1.401	-1.208	0.925
CL_1311	14	435428	435430	0.977	-0.332	1.1
CL_1312	14	332530	332532	-1.116	0.547	-0.625
CL_1313	14	424467	424469	-1.8	0.256	-1.784
CL_1314	14	470948	470950	0.284	-1.375	0.054
CL_1315	14	171080	171082	0.483	-0.377	0.955
CL_1316	14	316831	316833	-1.35	0.598	-0.958
CL_1317	14	236231	236233	-0.362	0.841	0.841
CL_1318	14	369750	369752	-0.179	0.208	0.198
CL_1319	14	445778	445780	0.718	-0.51	0.466
CL_1320	14	402367	402369	0.445	-0.717	0.759
CL_1321	14	365491	365493	0.851	-0.764	0.508
CL_1323	14	524331	524333	-0.34	-0.026	0.082
CL_1324	14	346779	346781	0.886	-1.611	0.362
CL_1325	14	605070	605072	0.514	-0.838	1.115
CL_1326	14	294285	294287	1.002	-0.997	0.318
CL_1327	14	483481	483483	-0.405	0.201	-0.509
CL_1328	14	525410	525412	-0.003	-0.736	0.435
CL_1329	14	249187	249189	-2.159	1.212	-1.647
CL_1330	14	161758	161760	-0.011	-0.454	-0.359
CL_1331	14	621077	621079	0.771	-0.56	0.476
CL_1332	14	325214	325216	-0.644	0.256	-0.004
CL_1334	14	487577	487579	1.267	-1.825	1.203
CL_1335	14	414140	414142	0.789	-0.321	0.597
CL_1336	14	450200	450202	0.136	-1.141	0.56
CL_1337	14	528687	528689	0.992	-0.65	0.527
CL_1338	14	507637	507639	1.236	-0.398	1.494
CL_1339	14	275774	275776	-0.503	0.539	-0.192
CL_1340	14	529022	529024	-1.511	1.391	-0.772
CL_1341	14	754689	754691	-0.182	-0.079	-0.692
CL_1342	14	341895	341897	0.904	-1.371	0.548
CL_1343	14	248103	248105	0.216	-0.586	1.577
CL_1344	14	377794	377796	0.694	-1.1	1.387
CL_1345	14	611647	611649	-1.065	0.715	-1.393
CL_1346	14	556578	556580	0.843	-0.366	1.333
CL_1347	14	739359	739361	0.73	-0.855	0.997
CL_1348	14	389619	389621	0.104	-0.539	0.493
CL_1349	14	742627	742629	-0.195	0.604	0.193
CL_1350	14	712249	712251	-3.04	3.097	-2.991
CL_1351	14	401359	401361	-0.3	-0.95	-0.359
CL_1353	14	726252	726254	0.847	-1.398	0.599
CL_1354	14	577708	577710	1.039	-1.068	0.497
CL_1355	14	478402	478404	-0.178	-0.163	-0.229
CL_1356	14	763847	763849	-0.709	-0.214	-0.813
CL_1357	14	382834	382836	0.499	-0.692	0.457
CL_1358	14	286221	286223	-0.185	-0.261	-0.034
CL_1359	14	430210	430212	-1.48	1.436	-0.665
CL_1360	14	332759	332761	1.029	-0.737	0.769
CL_1362	14	833338	833340	0.024	0.37	-0.034
CL_1363	14	236815	236817	-0.915	0.53	-0.915
CL_1365	14	419149	419151	0.055	-0.639	0.298
CL_1366	14	806120	806122	-1.823	1.558	-1.239
CL_1367	14	287282	287284	0.781	-0.722	0.214
CL_1368	14	210573	210575	1.198	-1.004	1.019
CL_1369	14	461206	461208	0.182	-1.171	0.516
CL_1370	14	898697	898699	2.029	-1.19	2.485
CL_1371	14	829658	829660	-0.669	-0.09	-0.157
CL_1372	14	393423	393425	0.309	-0.964	0.932
CL_1373	14	321812	321814	0.926	-1.544	1.249
CL_1374	14	269141	269143	-0.479	-0.713	-1.595
CL_1375	14	847481	847483	0.527	-0.43	1.111
CL_1376	14	792084	792086	-1.713	1.248	-1.191
CL_1377	14	908440	908442	0.259	-0.304	-0.027
CL_1378	14	732166	732168	0.786	-0.55	0.403
CL_1379	14	931163	931165	0.17	-0.119	0.343
CL_1380	14	653930	653932	1.071	-0.266	1.35
CL_1382	14	639640	639642	0.067	0.249	0.245
CL_1383	14	302938	302940	0.408	-0.635	0.18
CL_1384	14	434585	434587	-1.647	1.783	-1.278
CL_1385	14	792919	792921	-0.67	-0.256	-0.429
CL_1386	14	673849	673851	0.354	-0.054	0.025
CL_1387	14	326429	326431	-1.194	0.75	-0.986
CL_1389	14	672489	672491	0.362	-0.506	0.283
CL_1390	14	1058860	1058862	-1.358	-0.226	-0.81
CL_1391	14	675192	675194	0.285	-0.344	0.826
CL_1392	14	598029	598031	-2.883	3.237	-1.726
CL_1393	14	900588	900590	-0.972	0.739	0.135
CL_1394	14	322828	322830	-0.074	0.123	-0.101
CL_1395	14	838632	838634	-0.064	-0.734	0.897
CL_1396	14	918504	918506	-0.222	0.121	-0.548
CL_1397	14	520207	520209	1.168	-1.277	0.859
CL_1398	14	969900	969902	-1.419	2.238	-1.22
CL_1399	14	985309	985311	0.032	0.824	-0.548
CL_1400	14	370834	370836	-0.697	0.449	-0.144
CL_1401	14	737559	737561	0.046	0.552	-0.472
CL_1402	14	1078026	1078028	1.122	-1.269	0.888
CL_1403	14	1158842	1158844	-0.284	-0.338	0.015
CL_1405	14	981272	981274	0.079	-1.109	0.871
CL_1407	14	854059	854061	1.249	-0.948	1.192
CL_1408	14	501940	501942	-0.31	-0.693	1.365
CL_1409	14	1076361	1076363	-0.736	-0.602	-0.499
CL_1410	14	1168495	1168497	-1.017	0.121	-0.62
CL_1411	14	594175	594177	-0.299	-0.301	0.216
CL_1412	14	576463	576465	0.624	0.33	1.758
CL_1413	14	983118	983120	0.933	-0.391	0.778
CL_1414	14	454405	454407	-0.252	-0.8	-0.57
CL_1415	14	525353	525355	-0.66	-0.061	-0.486
CL_1416	14	1165262	1165264	-1.142	1.894	-0.334
CL_1417	14	304129	304131	0.961	-1.293	1.104
CL_1418	14	1054834	1054836	0.326	-1.109	0.373
CL_1419	14	788202	788204	0.824	-1.33	1.043
CL_1420	14	966970	966972	-0.823	-0.308	-0.465
CL_1421	14	334040	334042	0.523	-0.058	0.917
CL_1422	14	819093	819095	-0.291	-1.162	-0.98
CL_1423	14	770954	770956	-0.668	-1.158	-0.761
CL_1424	14	764678	764680	0.852	-0.555	0.061
CL_1425	14	408978	408980	-0.523	0.411	-0.014
CL_1426	14	785106	785108	0.413	-0.969	1.334
CL_1427	14	386080	386082	-1.692	0.781	-1.108
CL_1428	14	1194328	1194330	-0.25	-1.6	0.52
CL_1429	14	746667	746669	1.241	-1.058	0.473
CL_1430	14	1199176	1199178	-1.882	0.238	-1.813
CL_1432	14	823723	823725	-0.429	-0.221	-0.874
CL_1433	14	548165	548167	-0.188	-0.392	-0.727
CL_1434	14	1144694	1144696	-1.71	1.811	-1.477
CL_1435	14	860718	860720	-0.83	0.824	-1.459
CL_1436	14	739694	739696	0.377	-0.377	-0.019
CL_1437	14	345582	345584	-2.272	2.02	-0.822
CL_1438	14	622592	622594	1.537	-0.964	1.338
CL_1439	14	582749	582751	-0.566	0.683	-0.964
CL_1440	14	593527	593529	-1.075	-0.794	-0.538
CL_1441	14	658050	658052	0.563	-0.13	0.59
CL_1442	14	1158303	1158305	0.333	0.397	-0.569
CL_1443	15	120289	120291	-0.538	-0.258	-0.223
CL_1444	15	64435	64437	-0.547	-0.211	-1.23
CL_1445	15	245703	245705	0.153	-0.115	-0.501
CL_1446	15	249829	249831	1.08	-1.188	0.501
CL_1447	15	141064	141066	0.856	-0.248	1.576
CL_1448	15	185976	185978	-1.302	0.956	-1.086
CL_1450	15	103981	103983	-2.008	1.273	-1.633
CL_1451	15	176791	176793	1.369	-0.714	1.659
CL_1452	15	353724	353726	0.867	-0.933	0.84
CL_1453	15	201091	201093	0.13	0.28	-0.427
CL_1454	15	155401	155403	-0.075	-0.829	0.251
CL_1455	15	242149	242151	0.187	-0.405	0.267
CL_1456	15	229603	229605	1.328	-1.2	1.427
CL_1457	15	267465	267467	0.81	-1.014	1.417
CL_1458	15	177874	177876	-0.797	0.706	-1.422
CL_1459	15	361511	361513	-1.061	0.594	-0.672
CL_1460	15	364016	364018	-0.413	-0.414	0.557
CL_1461	15	122792	122794	0.301	-0.901	1.567
CL_1462	15	414621	414623	-0.374	-0.703	-0.091
CL_1463	15	414397	414399	-0.498	-0.784	0.132
CL_1464	15	386537	386539	0.987	-0.977	1.15
CL_1465	15	348110	348112	-0.479	0.449	0.093
CL_1466	15	118842	118844	0.073	-1.416	-0.224
CL_1467	15	247623	247625	-2.112	1.02	-2.469
CL_1468	15	453237	453239	-0.456	0.195	-1.374
CL_1469	15	212570	212572	0.148	0.308	0.292
CL_1470	15	423245	423247	0.768	-1.537	1.496
CL_1471	15	330195	330197	0.441	-1.148	0.683
CL_1472	15	427826	427828	0.968	-2.16	2.005
CL_1473	15	390294	390296	-0.114	0.68	0.16
CL_1474	15	427948	427950	-0.93	0.895	-1.435
CL_1475	15	219227	219229	0.703	-1.036	1.075
CL_1477	15	207223	207225	-0.377	-0.332	0.191
CL_1478	15	197285	197287	0.374	-1.032	0.873
CL_1479	15	370636	370638	0.264	-0.445	-0.949
CL_1480	15	136407	136409	0.244	-0.59	1.657
CL_1481	15	507948	507950	-0.423	-1.02	-1.13
CL_1482	15	338632	338634	-0.424	0.678	-0.008
CL_1483	15	454786	454788	1.408	-0.586	1.573
CL_1484	15	511456	511458	-2.312	0.811	-1.489
CL_1485	15	555249	555251	0.652	-0.079	1.046
CL_1486	15	332567	332569	0.612	-1.25	0.778
CL_1487	15	377232	377234	-1.565	1.378	-1.89
CL_1488	15	556672	556674	0.022	-0.895	0.145
CL_1489	15	539583	539585	0.714	-0.669	0.845
CL_1490	15	139253	139255	-1.783	1.637	-1.466
CL_1491	15	214466	214468	0.696	-0.581	1.194
CL_1492	15	592572	592574	0.192	1.092	1.505
CL_1493	15	431546	431548	0.818	-0.57	1.218
CL_1494	15	358544	358546	0.089	0.561	0.54
CL_1495	15	462046	462048	-0.512	-0.274	-0.39
CL_1496	15	550480	550482	0.755	-0.944	1.532
CL_1497	15	348254	348256	0.478	-0.561	0.984
CL_1498	15	533367	533369	-0.91	0.135	-0.165
CL_1499	15	343765	343767	0.388	-0.062	0.751
CL_1500	15	556381	556383	-3.317	3.34	-2.563
CL_1501	15	372786	372788	-1.436	2.686	-1.447
CL_1502	15	682394	682396	-0.233	0.305	0.692
CL_1503	15	217903	217905	0.698	-0.137	0.858
CL_1504	15	350700	350702	0.102	1.126	-0.259
CL_1505	15	418925	418927	-3.324	2.785	-1.665
CL_1506	15	455274	455276	0.126	-0.094	0.564
CL_1507	15	391981	391983	0.043	0.043	0.335
CL_1508	15	198105	198107	-1.03	0.64	0.151
CL_1509	15	346716	346718	0.4	-0.067	-0.129
CL_1510	15	435803	435805	1.444	-1.466	1.092
CL_1511	15	414261	414263	1.293	-0.11	0.85
CL_1512	15	485298	485300	0.408	-0.852	0.598
CL_1513	15	192142	192144	0.875	-1.28	0.201
CL_1514	15	637020	637022	-1.044	1.211	-1.794
CL_1515	15	283970	283972	-0.63	0.954	0.183
CL_1516	15	415227	415229	-1.163	1.292	-1.333
CL_1517	15	532583	532585	0.375	-0.457	0.136
CL_1518	15	230838	230840	0.727	-0.585	1.514
CL_1519	15	473949	473951	-0.753	-0.165	-0.528
CL_1520	15	238554	238556	-0.277	0.532	-0.17
CL_1521	15	723063	723065	0.224	-0.789	0.153
CL_1522	15	620458	620460	-0.534	1.198	-0.114
CL_1523	15	351316	351318	0.702	-1.522	0.575
CL_1524	15	325520	325522	-0.308	0.303	-0.474
CL_1525	15	229383	229385	-0.988	0.303	-1.012
CL_1527	15	837201	837203	0.896	-1.382	2.031
CL_1528	15	558969	558971	-2.917	3.235	-1.09
CL_1529	15	395131	395133	-0.381	0.892	-0.546
CL_1530	15	604538	604540	1.413	-1.566	0.612
CL_1531	15	305557	305559	0.665	-1.183	1.079
CL_1534	15	679977	679979	-3.605	2.847	-2.818
CL_1535	15	501293	501295	-1.793	1.297	-2.23
CL_1536	15	495000	495002	-1.958	1.083	-1.496
CL_1537	15	617930	617932	0.701	0.041	0.573
CL_1538	15	836536	836538	0.284	-1.536	0.894
CL_1540	15	885706	885708	0.39	-0.24	0.502
CL_1541	15	911177	911179	0.408	-0.702	0.921
CL_1542	15	495886	495888	0.373	-1.16	0.806
CL_1543	15	260293	260295	-0.315	-0.107	0.347
CL_1544	15	813972	813974	-0.481	-0.443	-0.303
CL_1545	15	686460	686462	0.228	-0.742	-0.022
CL_1546	15	710340	710342	-0.526	-0.066	-1.515
CL_1547	15	701570	701572	-0.347	-0.498	-0.584
CL_1548	15	819422	819424	-0.413	0.304	-0.85
CL_1549	15	324555	324557	-0.768	1.231	-0.314
CL_1550	15	610330	610332	-0.687	-0.516	-0.859
CL_1551	15	777126	777128	0.236	-0.51	0.831
CL_1552	15	307728	307730	-0.096	-0.565	0.401
CL_1553	15	266970	266972	1.025	-1.529	0.668
CL_1554	15	269207	269209	0.701	-0.874	0.751
CL_1555	15	635687	635689	1.187	-0.647	1.094
CL_1556	15	337439	337441	-1.283	0.656	-0.978
CL_1557	15	286043	286045	0.605	0.168	0.421
CL_1558	15	535296	535298	0.514	-0.397	0.768
CL_1559	15	437776	437778	-0.723	0.078	0.209
CL_1560	15	792625	792627	0.831	-0.704	0.811
CL_1561	15	338280	338282	0.416	-0.968	0.151
CL_1562	15	974779	974781	-0.687	0.004	-0.361
CL_1563	15	680270	680272	1.326	-0.724	0.812
CL_1564	15	771506	771508	-1.086	0.113	-0.005
CL_1565	15	382222	382224	0.532	-0.363	0.919
CL_1566	15	476780	476782	-0.688	0.298	-0.296
CL_1567	15	973094	973096	0.372	-0.431	1.061
CL_1568	15	491939	491941	0.242	0.005	0.362
CL_1569	15	495325	495327	0.434	-0.597	0.73
CL_1570	15	854503	854505	0.396	-0.781	0.413
CL_1571	15	1070513	1070515	0.02	0.066	0.528
CL_1572	15	436022	436024	0.73	-0.014	1.562
CL_1573	15	779543	779545	0.433	0.319	0.018
CL_1574	15	1029890	1029892	0.161	-1.143	0.773
CL_1575	15	653661	653663	-0.116	0.36	0.047
CL_1576	15	450955	450957	0.694	-0.258	0.349
CL_1577	15	678976	678978	-1.417	0.545	-0.159
CL_1578	15	852017	852019	1.285	0.054	1.573
CL_1579	15	830015	830017	0.508	0.533	0.753
CL_1580	15	689164	689166	-1.146	0.5	-1.574
CL_1581	15	706672	706674	-0.359	0.413	-0.133
CL_1582	15	379818	379820	0.898	-0.548	0.179
CL_1583	15	989322	989324	0.323	-0.504	0.418
CL_1584	15	793975	793977	0.22	-1.08	0.488
CL_1585	15	489818	489820	0.977	0.173	1.368
CL_1586	15	562030	562032	0.175	0.25	0.071
CL_1587	15	474798	474800	-0.827	0.792	-0.728
CL_1588	15	290007	290009	-0.714	0.488	-0.828
CL_1589	15	754357	754359	1.089	-1.658	1.6
CL_1590	15	561447	561449	-0.32	1.022	-0.114
CL_1591	15	547089	547091	1.463	-1.305	0.72
CL_1592	15	673013	673015	0.177	-0.88	-0.063
CL_1593	15	736830	736832	0.889	-1.445	1.3
CL_1594	15	1124923	1124925	0.058	-1.323	0.966
CL_1595	15	363403	363405	1.36	-0.526	0.85
CL_1596	15	554205	554207	-0.921	-0.321	-0.285
CL_1597	15	870664	870666	-0.964	1.871	-1.18
CL_1598	15	349363	349365	1.613	-1.358	1.389
CL_1600	15	992071	992073	-1.682	2.07	-2.819
CL_1601	16	543	545	1.244	-1.114	0.718
CL_1602	16	584	586	-0.091	0.844	-0.485
CL_1604	16	3683	3685	0.157	-0.764	0.003
CL_1605	16	4054	4056	-1.375	0.345	-1.094
CL_1606	16	4392	4394	-0.347	0.265	-1.044
CL_1607	16	7238	7240	-1.253	0.557	-0.189
CL_1608	16	6573	6575	-0.302	-1.332	-0.078
CL_1609	16	12017	12019	-1.68	2.197	-0.436
CL_1610	16	11416	11418	1.03	-1.226	1.429
CL_1611	16	8973	8975	-1.422	0.472	-0.858
CL_1612	16	7604	7606	0.122	0.018	-0.655
CL_1613	16	14802	14804	0.608	-0.442	0.527
CL_1614	16	21463	21465	0.528	-1.117	1.102
CL_1615	16	12659	12661	-1.066	0.57	-0.557
CL_1616	16	16963	16965	0.768	-1.053	0.868
CL_1617	16	10836	10838	0.194	-0.683	-0.161
CL_1618	16	9052	9054	-0.009	-0.462	0.011
CL_1619	16	18848	18850	1.191	0.177	1.371
CL_1620	16	17599	17601	-0.928	0.317	-0.206
CL_1621	16	34154	34156	-0.537	0.116	-0.139
CL_1622	16	61807	61809	-0.578	0.254	-0.108
CL_1623	16	59983	59985	1.356	-1.944	2.363
CL_1625	16	99494	99496	0.797	-0.829	-0.588
CL_1626	16	106562	106564	-0.594	0.463	-0.513
CL_1627	16	95749	95751	0.267	-1.276	0.566
CL_1628	16	120209	120211	0.83	-0.709	1.051
CL_1629	16	128846	128848	-0.079	-0.063	0.97
CL_1630	16	85382	85384	0.431	-0.473	-0.308
CL_1631	16	107710	107712	0.631	-1.793	1.907
CL_1632	16	145899	145901	-0.341	0.561	0.001
CL_1633	16	117540	117542	-2.617	1.744	-2.258
CL_1634	16	183450	183452	0.533	-0.113	1.658
CL_1635	16	165830	165832	-0.381	-0.241	-0.242
CL_1636	16	98652	98654	-0.148	-0.11	-0.464
CL_1637	16	149370	149372	-0.491	0.196	0.086
CL_1638	16	173113	173115	1.021	-1.146	2.129
CL_1639	16	178540	178542	-0.152	0.79	0.563
CL_1640	16	143539	143541	0.879	0.032	0.819
CL_1641	16	184410	184412	0.983	-0.956	0.639
CL_1642	16	96278	96280	-0.216	-0.728	0.426
CL_1644	16	160667	160669	0.886	-1.194	1.103
CL_1645	16	169332	169334	1.016	-0.777	0.785
CL_1646	16	212030	212032	-0.28	-0.057	-0.547
CL_1647	16	101758	101760	-0.514	-0.905	-0.504
CL_1648	16	114954	114956	0.019	0.41	0.111
CL_1649	16	233322	233324	0.193	-1.017	0.715
CL_1650	16	128586	128588	3.153	-1.244	1.284
CL_1651	16	276978	276980	0.191	-0.904	0.239
CL_1652	16	142928	142930	0.041	0.128	0.501
CL_1653	16	132075	132077	-0.559	-0.206	-0.309
CL_1654	16	143948	143950	0.031	-0.197	1.091
CL_1655	16	145114	145116	0.015	-0.521	-0.773
CL_1656	16	196496	196498	-1.167	0.096	-1.044
CL_1658	16	341271	341273	-0.25	-0.342	-0.171
CL_1659	16	239292	239294	1.53	-1.843	1.612
CL_1660	16	150538	150540	0.469	-1.488	0.247
CL_1661	16	249003	249005	-0.294	-0.254	-0.588
CL_1662	16	171275	171277	1.109	-0.929	1.308
CL_1663	16	341692	341694	-0.461	0.428	-1.055
CL_1664	16	368798	368800	0.683	-0.381	0.719
CL_1665	16	366250	366252	-2.272	2.652	-1.159
CL_1666	16	218498	218500	0.254	-0.058	-0.486
CL_1667	16	346221	346223	0.139	-1.472	0.198
CL_1668	16	267597	267599	0.601	-1.327	0.768
CL_1669	16	142487	142489	0.697	-0.257	-0.181
CL_1671	16	274485	274487	0.553	-0.301	1.067
CL_1672	16	588123	588125	0.888	-1.003	0.957
CL_1673	16	267062	267064	0.41	-1.088	0.945
CL_1674	16	545768	545770	-0.171	-0.266	-0.994
CL_1675	16	176401	176403	-0.219	0.259	0.155
CL_1676	16	370180	370182	-1.045	1.396	-1.344
CL_1677	16	268327	268329	-0.202	0.38	-0.838
CL_1678	16	192148	192150	-0.466	-0.55	-0.438
CL_1679	16	384208	384210	0.094	-0.621	0.558
CL_1680	16	200884	200886	-1.111	0.278	-0.02
CL_1681	16	155664	155666	0.023	-0.278	0.196
CL_1682	16	233760	233762	-0.571	-0.333	-1.189
CL_1683	16	661427	661429	1.002	-1.628	0.455
CL_1684	16	218268	218270	1.089	-0.771	0.031
CL_1685	16	685732	685734	-0.629	-0.768	-0.394
CL_1686	16	522747	522749	0.488	0.149	0.047
CL_1687	16	625221	625223	0.614	-0.124	0.568
CL_1688	16	625897	625899	0.756	-1.176	0.581
CL_1689	16	437304	437306	-0.204	-0.225	0.688
CL_1690	16	206233	206235	0.333	-0.943	1.031
CL_1691	16	673716	673718	-0.016	-0.516	-0.82
CL_1692	16	680402	680404	1.249	-0.594	1.142
CL_1693	16	558576	558578	0.755	-1.165	0.323
CL_1694	16	201495	201497	-0.169	-1.157	0.399
CL_1695	16	647149	647151	0.257	0.42	0.123
CL_1696	16	301020	301022	-0.052	-0.177	0.05
CL_1697	16	678503	678505	0.544	-0.053	0.344
CL_1698	16	433379	433381	-0.047	-0.353	0.519
CL_1699	16	538903	538905	0.559	-1.316	0.39
CL_1701	16	759340	759342	0.654	-0.368	0.572
CL_1702	16	514951	514953	-1.377	1.39	-2.249
CL_1703	16	410145	410147	0.553	-0.605	0.66
CL_1704	16	556970	556972	0.536	-0.506	0.229
CL_1705	16	319095	319097	-0.989	0.422	0.024
CL_1706	16	696478	696480	-1.869	0.85	-2.332
CL_1707	16	460849	460851	-0.4	0.286	0.052
CL_1708	16	354115	354117	0.85	-1.103	0.785
CL_1709	16	439576	439578	-0.36	0.504	0.296
CL_1710	16	394336	394338	0.811	-1.265	0.782
CL_1711	16	489711	489713	0.214	-0.914	1.159
CL_1713	16	848666	848668	-0.817	-0.304	-0.051
CL_1714	16	540141	540143	-0.165	-0.342	-0.159
CL_1716	16	776173	776175	-0.253	0.264	-0.13
CL_1717	16	825820	825822	-0.729	0.349	-0.789
CL_1719	16	693199	693201	-0.169	-0.943	0.07
CL_1720	16	301716	301718	-0.669	0.516	0.223
CL_1721	16	700907	700909	1.005	-1.117	0.893
CL_1722	16	648939	648941	0.408	0.206	-0.009
CL_1723	16	863056	863058	-2.892	3.147	-1.803
CL_1724	16	455670	455672	1.303	-1.687	1.293
CL_1725	16	622939	622941	0.137	-0.974	0.39
CL_1726	16	254803	254805	-0.946	1.166	-1.369
CL_1727	16	567190	567192	-0.151	-0.926	-0.036
CL_1728	16	613503	613505	-0.139	0.762	-0.718
CL_1729	16	223463	223465	0.584	-0.688	0.242
